COMPANY	SP500 NAME	DNA NAME
Affiliated Managers Group Inc	AMG	AFFMAN
AFLAC Inc	AFL	AFL
Allstate Corp	ALL	ALLINS
American Express Co	AXP	AMEXPR
American International Group	AIG	AIU
Ameriprise Financial	AMP	AMEXFA
Aon plc	AON	CMBNDI
Arthur J. Gallagher & Co.	AJG	GALGHA
Assurant Inc.	AIZ	ASRANT
Bank of America Corp	BAC	NCNBCO
Berkshire Hathaway	BRK-B	BKHT
Capital One Financial	COF	CPTONE
Cboe Global Markets	CBOE	CHBOEI
Charles Schwab Corporation	SCHW	SCHWAB
Chubb Limited	CB	ACELTD
Cincinnati Financial	CINF	CINFIN
Citigroup Inc.	C	CCRED
Citizens Financial Group	CFG	CSBRI
CME Group Inc	CME	CHMER
Comerica Inc.	CMA	COMEC
Discover Financial Services	DFS	DISCFS
Everest Re Group Ltd	RE	PRREHO
Fifth Third Bancorp	FITB	FITB
Franklin Resources	BEN	FRRI
Goldman Sachs Group	GS	GLDMNS
Intercontinental Exchange	ICE	INTCE
JPMorgan Chase & Co.	JPM	CNYC
KeyCorp	KEY	KEYCO,KYCRPI
Lincoln National	LNC	LINNB
Loews Corp	L	LOEW
M&T Bank Corp	MTB	FEMP
Marsh & McLennan	MMC	MAMCLC,MARAMC,MM
MetLife Inc.	MET	METLFE
Northern Trust Corp.	NTRS	NRTHNT
People's United Financials	PBCT	PBRDGE
Principal Financial Group	PFG	PMLIFE
Progressive Corp.	PGR	PRGRBN
Prudential Financial	PRU	PRUINS
Raymond James Financial Inc.	RJF	RJFIN
Regions Financial Corp	RF	FABNC
State Street Corp.	STT	SSBT
SunTrust Banks	STI	SUNFLA
Synchrony Financial	SYF	PTWAGK
T. Rowe Price Group	TROW	ROWPRI
The Bank of New York Mellon	BK	BAONYT
The Travelers Companies	TRV	STPAUL
U.S. Bancorp	USB	UBANCU
Unum Group	UNM	UMLA
Wells Fargo	WFC	BNKNUS,FBNAA,WFBN,WFBNMP,NWBC
Willis Towers Watson	WLTW	WILAS,WILF
Zions Bancorp	ZION	ZION
