COMPANY	SP500 NAME	DNA NAME
3M Company	MMM	MMMUK
A.O. Smith Corp	AOS	AOSM
Alaska Air Group Inc	ALK	ALASAR
Allegion	ALLE	LLGION
American Airlines Group	AAL	AMAIR
AMETEK Inc.	AME	AMTAEP
Arconic Inc.	ARNC	ALCOIA,ALMAM
Boeing Company	BA	BOEING
Caterpillar Inc.	CAT	CATRA
Cintas Corporation	CTAS	CNTAS
CSX Corp	CSX	CSXC
Cummins Inc.	CMI	CUMEI
Deere & Co.	DE	DEERE
Delta Air Lines Inc.	DAL	DELTAA,AILIPH
Dover Corp.	DOV	DOVELJ
Eaton Corporation	ETN	CNNNT,EHPOTL
Emerson Electric Company	EMR	EMELC
Equifax Inc.	EFX	EQF
Expeditors International	EXPD	EIUL,EXPEIB
Fastenal Co	FAST	FSNAL
FedEx Corporation	FDX	FDEXPS
Flowserve Corporation	FLS	DUR
Fluor Corp.	FLR	FLRL
Fortive Corp	FTV	FTVCZZ
Fortune Brands Home & Security	FBHS	FBHSZZ
General Dynamics	GD	AGAURJD
General Electirc	GE	GNELC
Harris Corporation	HRS	HARSCO
Honeywell Inc.	HON	HONINC
IHS Markit Ltd.	INFO	MARKIT
Illinois Tool Works	ITW	ITW
Ingersoll-Rand plc	IR	INGRAC
Jacobs Engineering Group	JEC	JACINT
Johnson Controls International	JCI	HWLY
Kansas City Southern	KSU	KSU
Lockheed Martin Corp.	LMT	LCKHED
Nielsen Holdings	NLSN	NLSNHB
Norfolk Southern Corp.	NSC	NRFWST
Northrop Grumman Corp.	NOC	NRTHRP
PACCAR Inc.	PCAR	PACAR
Parker-Hannifin	PH	PHANNS
Pentair Ltd	PNR	PWXTL,PNTA
Quanta Services Inc	PWR	QUTSRV
Raytheon Co	RTN	RAYTHN,RYTHN
Republic Services Inc	RSG	RPBSRV
Robert Half International	RHI	BCMP
Rockwell Automation Inc	ROK	RCKWL
Roper Technologies	ROP	ROPIND
Snap-On inc	SNA	SNA
Southwest Airlines	LUV	SWAIRL
Stanley Black & decker	SWK	STANWO
Textron Inc.	TXT	TEXTR
TransDigm Group	TDG	TRANSD
Union Pacific	UNP	UNPACF
United Continental Holdings	UAL	UAL
United Parcel Service	UPS	UPSER
United Technologies	UTX	UTC
Verisk Analytics	VRSK	VRISKI
Waste Management Inc.	WM	USAWAS
Xylem Inc.	XYL	XYLEIN,XYINCR
