COMPANY	SP500 NAME	DNA NAME
Xilinx	XLNX	XILN
Seagate Technology	STX	SEAGT
Ansys	ANSS	SWASYS
Synopsis Inc	SNPS	SYNOPS
Total System Services	TSS	TOTSS
Cisco Systems	CSCO	CISCOS
Qorvo	QRVO	QORVIN, RFMIC
Red Hat Inc	RHT	RHAT
Advanced Micro Devices Inc	AMD	AMD
Juniper Networks	JNPR	JUNNET
TE Connectivity Ltd	TEL	TYCEC
PayPal	PYPL	XCMCRP, PYPLES, PYPLIL
Cognizant Technology Solutions	CTSH	CGNTCH
Adobe Systems	ADBE	ADOSY
Broadcom	AVGO	AVAGT
Mastercard	MA	INTBMC
Fiserv	FISV	FISRV
Gartner	IT	GRTG
Apple Inc	AAPL	APPLC
Amphenol Corp	APH	AMPHNL
Alliance Data Systems	ADS	AALDSI
KLA-Tencor Corp	KLAC	KLA
Skyworks Solutions	SWKS	ALPHI
Texas Instruments	TXN	TXSIL
Akamai Technologies Inc	AKAM	AKAMAT,AKMT
Applied Materials Inc	AMAT	APLMAT
FLIR Systems	FLIR	FLIR
International Business Machines	IBM	IBM
Xerox Corp	XRX	XTDC
IPG Photonics Corp	IPGP	IPGPH
Corning Inc	GLW	CORN
Microchip Technology	MCHP	MICCHP
Cadence Design Systems	CDNS	CADDSL
Micron Technology	MU	MICT
Lam Research	LRCX	LAMRES
DXC Technology	DXC	WYUZSR
Symantec Corp.	SYMC	SYMT
HP Inc	HPQ	HEWLP
NetApp	NTAP	NTAPL
Qualcomm Inc	QCOM	QCOM
F5 Networks	FFIV	FFIVE
Intuit Inc	INTU	ITUIT
Oracle Corp	ORCL	ORCLE
Paychex Inc	PAYX	PAYCH
Accenture Plc	ACN	ANDAC,APGIB
Western Digital	WDC	WSTDGT
Visa Inc	V	VISA
Verisign	VRSN	VRISGN
Citrix Systems	CTXS	CITRXS
Hewlett Packard Enterprise	HPE	YPTDJC,HPNTRZ
Salesforce.com	CRM	SALESF
Motorola Solutions Inc	MSI	MTROL
Global Payments Inc	GPN	GLOPMT
Intel Corp	INTC	INTL
Microsoft Corp	MSFT	MCROST
Automatic Data Processing	ADP	AUDAT
Autodesk Inc	ADSK	ATDK
